TOKEN	ID
NAME	258
INTEGER	259
FLOAT	260
STRING	261
DEF	262
RETURN	263
IF	264
ELIF	265
ELSE	266
FOR	267
WHILE	268
IN	269
AND	270
OR	271
NOT	272
IS	273
TRUE	274
FALSE	275
NONE	276
IMPORT	277
FROM	278
AS	279
PASS	280
RAISE	281
ASSERT	282
BREAK	283
CONTINUE	284
GLOBAL	285
NONLOCAL	286
DEL	287
LAMBDA	288
TRY	289
EXCEPT	290
FINALLY	291
WITH	292
CLASS	293
YIELD	294
ASYNC	295
AWAIT	296
PLUS	297
MINUS	298
STAR	299
DOUBLE_STAR	300
SLASH	301
DOUBLE_SLASH	302
PERCENT	303
AT	304
LESS	305
LESS_EQUAL	306
GREATER	307
GREATER_EQUAL	308
EQUAL_EQUAL	309
NOT_EQUAL	310
AMPERSAND	311
PIPE	312
CARET	313
TILDE	314
LEFT_SHIFT	315
RIGHT_SHIFT	316
ASSIGN	317
PLUS_ASSIGN	318
MINUS_ASSIGN	319
STAR_ASSIGN	320
SLASH_ASSIGN	321
PERCENT_ASSIGN	322
AMPERSAND_ASSIGN	323
PIPE_ASSIGN	324
CARET_ASSIGN	325
LEFT_SHIFT_ASSIGN	326
RIGHT_SHIFT_ASSIGN	327
DOUBLE_STAR_ASSIGN	328
DOUBLE_SLASH_ASSIGN	329
OPEN_PARENTHESIS	330
CLOSE_PARENTHESIS	331
OPEN_BRACKET	332
CLOSE_BRACKET	333
OPEN_BRACE	334
CLOSE_BRACE	335
COMMA	336
COLON	337
DOT	338
SEMICOLON	339
ARROW	340
ELLIPSIS	341
ERROR	342
